,Local,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial
631,"CALDAS NOVAS, GO",2005-01-19,2,19,28,48,51,54,0,26,1962,0,19697.02,260.03,,0,0,0,SIM,SIM
632,"CALDAS NOVAS, GO",2005-01-22,5,11,22,27,46,50,0,58,3524,0,11744.77,192.57,,0,0,0,SIM,SIM
633,"RIO DE JANEIRO, RJ",2005-01-26,10,13,24,41,42,56,0,54,3752,0,11854.27,169.97,,0,0,0,SIM,SIM
634,"RIO DE JANEIRO, RJ",2005-01-29,8,20,26,37,42,49,0,58,3646,0,16456.84,260.8,,0,0,0,SIM,SIM
635,"PERUÍBE, SP",2005-02-02,26,28,30,32,34,50,0,74,3170,0,12762.47,296.79,,0,0,0,SIM,SIM
636,"SANTOS, SP",2005-02-05,11,18,43,48,52,58,0,29,3560,0,38451.69,312.04,,0,0,0,SIM,SIM
637,"IJUÍ, RS",2005-02-12,10,11,36,41,42,50,0,65,4518,0,22677.35,325.03,,0,0,0,SIM,SIM
638,"TERESINA, PI",2005-02-16,13,35,39,45,51,60,0,72,5473,0,17653.96,231.37,,0,0,0,SIM,SIM
639,"TERESINA, PI",2005-02-19,12,19,42,46,59,60,0,129,8094,0,14012.81,222.49,,0,0,0,SIM,SIM
640,"EMBU, SP",2005-02-23,1,9,13,17,33,34,1,366,20840,31923289.19,5766.38,100.89,MG,0,0,0,NAO,SIM
641,"EMBU, SP",2005-02-26,17,36,40,44,51,56,0,28,1988,0,22758.8,319.34,,0,0,0,SIM,SIM
642,"MARAU, RS",2005-03-02,14,24,37,40,42,45,0,41,2694,0,15663.14,237.48,,0,0,0,SIM,SIM
643,"HORIZONTINA, RS",2005-03-05,14,27,29,31,34,57,0,81,4433,0,10667.36,194.17,,0,0,0,SIM,SIM
644,"CAMPO GRANDE, MS",2005-03-09,3,24,48,52,53,54,0,39,4345,0,27310.11,244.2,,0,0,0,SIM,SIM
645,"CAMPO GRANDE, MS",2005-03-12,10,13,32,47,49,60,0,79,6173,0,16079.41,205,,0,0,0,SIM,SIM
646,"PARANAVAÍ, PR",2005-03-16,11,12,14,19,54,56,1,50,5432,17603353.15,25009.18,229.34,SP,0,0,0,NAO,SIM
647,"PARANAVAÍ, PR",2005-03-19,5,23,29,42,45,48,3,139,4869,361199.61,4454.67,126.69,MG,0,0,0,NAO,SIM
648,"LIMEIRA, SP",2005-03-23,9,24,33,41,48,54,0,31,2156,0,15748.23,225.57,,0,0,0,SIM,SIM
649,"MOGI MIRIM, SP",2005-03-26,10,24,25,29,53,59,0,29,2765,0,24322.62,254.15,,0,0,0,SIM,SIM
650,"NOVO HAMBURGO, RS",2005-03-30,26,28,39,45,48,60,0,36,4356,0,24882.92,204.86,,0,0,0,SIM,SIM
651,"Novo Hamburgo, RS",2005-04-02,10,18,20,24,56,57,0,41,3874,0,27383.54,288.71,,0,0,0,SIM,SIM
652,"Ituporanga, SC",2005-04-06,5,9,19,24,31,34,0,74,6274,0,14994.32,176.18,,0,0,0,SIM,SIM
653,"ITUPORANGA, SC",2005-04-09,6,10,11,40,41,56,1,66,4745,15767596.35,20244.14,280.52,MG,0,0,0,NAO,SIM
654,"Catanduva, SP",2005-04-13,1,26,37,39,43,48,0,23,2722,0,33457.53,281.64,,0,0,0,SIM,SIM
655,"Catanduva, SP",2005-04-16,35,36,37,46,51,59,0,24,2623,0,42026.73,383.08,,0,0,0,SIM,SIM
656,"Porto Alegre, RS",2005-04-20,16,20,33,58,59,60,1,56,3995,11354235.39,18168.36,253.72,PR,0,0,0,NAO,SIM
657,"TORRES, RS",2005-04-23,3,6,11,20,36,41,0,31,2883,0,18418.26,197.3,,0,0,0,SIM,SIM
658,"João Monlevade, MG",2005-04-27,14,29,34,40,51,52,0,22,1390,0,27222.16,429.22,,0,0,0,SIM,SIM
659,"JOÃO MONLEVADE, MG",2005-04-30,5,11,38,46,53,54,0,58,4204,0,16751,230.23,,0,0,0,SIM,SIM
660,"Lençóis Paulista, SP",2005-05-04,4,27,36,40,42,55,0,64,4211,0,15130.77,229.09,,0,0,0,SIM,SIM
661,"LENÇÓIS PAULISTA, SP",2005-05-07,4,18,23,25,56,60,0,79,5525,0,14974.99,213.31,,0,0,0,SIM,SIM
662,"Passos, MG",2005-05-11,1,27,30,49,51,55,0,64,4020,0,17649.82,279.93,,0,0,0,SIM,SIM
663,"PASSOS, MG",2005-05-14,1,12,36,38,55,59,0,74,4971,0,18450.77,273.62,,0,0,0,SIM,SIM
664,"Pitangueiras, SP",2005-05-18,7,8,18,25,47,48,0,185,10055,0,8538.56,156.51,,0,0,0,SIM,SIM
665,"Pontal, SP",2005-05-21,7,16,26,29,45,55,0,77,8122,0,26923.37,254.29,,0,0,0,SIM,SIM
666,"Pirapora, MG",2005-05-25,1,4,5,16,23,49,1,203,15283,34263173.55,11296.7,149.48,SP,0,0,0,NAO,SIM
667,"Pirapora, MG",2005-05-28,1,2,14,33,49,56,0,53,2814,0,11007.74,206.54,,0,0,0,SIM,SIM
668,"Francisco Morato, SP",2005-06-01,7,24,27,40,41,49,1,32,2427,2170216.15,20522.3,269.57,SP,0,0,0,NAO,SIM
669,"FRANCO DA ROCHA, SP",2005-06-04,22,37,42,48,58,59,0,24,2895,0,43085.53,355.84,,0,0,0,SIM,SIM
670,"Ourinhos, SP",2005-06-08,9,16,27,38,39,51,0,67,4259,0,16609.7,260.3,,0,0,0,SIM,SIM
671,"Ourinhos, SP",2005-06-11,24,28,34,38,43,53,0,54,4411,0,24277.19,296.08,,0,0,0,SIM,SIM
672,"Caruaru, PE",2005-06-15,6,11,20,34,37,40,0,72,4792,0,17523.73,262.3,,0,0,0,SIM,SIM
673,"Caruaru, PE",2005-06-18,18,22,29,32,38,42,0,96,5586,0,16070.11,275.14,,0,0,0,SIM,SIM
674,"Aracaju, SE",2005-06-22,24,25,30,42,43,50,0,67,5204,0,26180.7,335.79,,0,0,0,SIM,SIM
675,"ARACAJU, SE",2005-06-25,9,15,32,41,42,49,0,94,7583,0,22081.78,272.69,,0,0,0,SIM,SIM
676,"Jaguaquara, BA",2005-06-29,8,10,25,32,48,55,0,284,12803,0,8422.82,186.14,,0,0,0,SIM,SIM
677,"JAGUAQUARA, BA",2005-07-02,14,31,40,42,44,46,0,115,9797,0,28311.43,331.07,,0,0,0,SIM,SIM
678,"ITAÚNA, MG",2005-07-06,3,21,25,37,54,58,1,448,22087,51890452.61,9610.91,194.2,RJ,0,0,0,NAO,SIM
679,"PARÁ DE MINAS, MG",2005-07-09,2,3,5,22,26,44,0,188,11222,0,7276.69,121.45,,0,0,0,SIM,SIM
680,"ANDRADINA, SP",2005-07-13,21,25,38,53,58,59,0,62,5210,0,23695.09,280.91,,0,0,0,SIM,SIM
681,"BASTOS, SP",2005-07-16,4,27,36,37,47,60,0,62,5647,0,25832.17,282.55,,0,0,0,SIM,SIM
682,"NHANDEARA, SP",2005-07-20,2,11,12,35,40,43,0,79,5680,0,19666.04,272.49,,0,0,0,SIM,SIM
683,"BADY BASSITT, SP",2005-07-23,17,19,33,37,40,50,0,81,7103,0,22483.66,255.42,,0,0,0,SIM,SIM
684,"PASSA QUATRO, MG",2005-07-27,5,12,27,33,43,56,1,347,15404,44331219.78,6029.62,135.32,SP,0,0,0,NAO,SIM
685,"PASSA QUATRO, MG",2005-07-30,4,5,15,26,33,54,0,47,3901,0,15221.72,182.71,,0,0,0,SIM,SIM
686,"Caieiras, SP",2005-08-03,1,7,14,41,48,59,0,28,2887,0,25839.62,249.66,,0,0,0,SIM,SIM
687,"Bom Jesus dos Perdões, SP",2005-08-06,11,21,30,35,47,52,0,38,2757,0,23920.89,328.45,,0,0,0,SIM,SIM
688,"Promissão, SP",2005-08-10,6,7,31,49,51,60,0,29,2998,0,30336.11,292.33,,0,0,0,SIM,SIM
689,"Promissão, SP",2005-08-13,8,12,15,41,47,53,0,90,5446,0,13225.5,217.74,,0,0,0,SIM,SIM
690,"Mauá, SP",2005-08-17,8,16,37,50,55,58,0,54,3896,0,20629.58,284.85,,0,0,0,SIM,SIM
691,"Brasília, DF",2005-08-20,11,18,33,57,58,60,0,71,4995,0,18365.13,260.06,,0,0,0,SIM,SIM
692,"Itararé, SP",2005-08-24,13,14,17,31,41,50,0,152,7170,0,8909.82,188.18,,0,0,0,SIM,SIM
693,"Itararé, SP",2005-08-27,15,19,29,37,41,53,0,114,7087,0,13859.26,222.1,,0,0,0,SIM,SIM
694,"COXIM, MS",2005-08-31,6,11,13,21,40,52,0,76,6333,0,22217.91,265.62,,0,0,0,SIM,SIM
695,"Coxim, MS",2005-09-03,9,16,34,37,53,57,2,195,10814,19251302.49,10613.53,190.66,MA,0,0,0,NAO,SIM
696,"SÃO LUIS, MA",2005-09-10,28,31,32,35,51,53,0,27,2895,0,33337.57,309.74,,0,0,0,SIM,SIM
697,"Andirá, PR",2005-09-14,8,12,22,27,43,55,0,43,3981,0,16354.69,175.99,,0,0,0,SIM,SIM
698,"Porto Alegre, RS",2005-09-19,17,23,48,50,53,54,0,54,3752,0,16259.09,233.13,,0,0,0,SIM,SIM
699,"Porto Alegre, RS",2005-09-21,2,3,14,24,31,40,0,53,3584,0,17991.31,265.04,,0,0,0,SIM,SIM
700,"Porto Alegre, RS",2005-09-24,1,13,23,31,48,60,0,103,5623,0,11253.13,205.35,,0,0,0,SIM,SIM
701,"Afonso Cláudio, ES",2005-09-28,1,18,45,56,57,58,0,47,3663,0,22868.49,292.31,,0,0,0,SIM,SIM
702,"GUAÇUÍ, ES",2005-10-01,2,11,24,27,30,45,0,123,7343,0,10767.16,179.68,,0,0,0,SIM,SIM
703,"CATALÃO, GO",2005-10-05,2,4,18,27,34,50,0,56,5784,0,22659.95,218.56,,0,0,0,SIM,SIM
704,"Catalão, GO",2005-10-08,3,11,13,15,26,43,0,144,11514,0,11780.58,146.78,,0,0,0,SIM,SIM
705,"Blumenau, SC",2005-10-15,2,7,10,17,22,60,0,282,15980,0,7866.56,138.3,,0,0,0,SIM,SIM
706,"MACAPÁ, AP",2005-10-19,1,8,10,36,43,51,2,140,12461,19919975.72,14306.28,160.12,MG,0,0,0,NAO,SIM
707,"MACAPÁ, AP",2005-10-22,7,9,13,39,45,47,0,102,5998,0,6567.35,111.26,,0,0,0,SIM,SIM
708,"JUAZEIRO, BA",2005-10-26,4,6,9,22,29,44,0,106,5202,0,5881.47,119.39,,0,0,0,SIM,SIM
709,"JUAZEIRO, BA",2005-10-29,5,25,34,39,46,49,0,48,4608,0,21483.28,222.94,,0,0,0,SIM,SIM
710,"Juazeiro do Norte, CE",2005-11-05,5,10,33,40,41,59,0,79,5840,0,18118.11,244.16,,0,0,0,SIM,SIM
711,"Guaratinguetá, SP",2005-11-09,7,8,35,43,53,58,0,97,5637,0,12122.15,207.81,,0,0,0,SIM,SIM
712,"Lorena, SP",2005-11-12,1,12,16,26,46,54,0,67,5838,0,20438.81,233.68,,0,0,0,SIM,SIM
713,"ALFENAS, MG",2005-11-16,7,8,17,35,39,53,0,113,10955,0,9766.45,100.36,,0,0,0,SIM,SIM
714,"ALFENAS, MG",2005-11-19,4,12,24,33,36,54,3,237,13134,10825809.33,6910.89,124.24,GO,0,0,0,NAO,SIM
715,"Medina, MG",2005-11-23,2,7,16,29,32,50,1,37,2512,945382.75,14600.51,214.25,RJ,0,0,0,NAO,SIM
716,"Araçuaí, MG",2005-11-26,6,17,23,28,35,41,0,68,3816,0,8956.76,159,,0,0,0,SIM,SIM
717,"Sananduva, RS",2005-11-30,7,21,33,35,39,58,0,41,2893,0,13759.23,194.26,,0,0,0,SIM,SIM
718,"Panambi, RS",2005-12-03,3,32,37,39,47,53,0,63,3553,0,12737,225,,0,0,0,SIM,SIM
719,"Votorantim, SP",2005-12-07,12,31,44,51,54,56,0,20,2606,0,45658.99,349.09,,0,0,0,SIM,SIM
720,"Votorantim, SP",2005-12-10,3,14,23,25,36,55,0,99,6723,0,11025.33,161.75,,0,0,0,SIM,SIM
721,"Mococa, SP",2005-12-14,9,18,36,44,57,60,0,85,5334,0,12704.05,201.68,,0,0,0,SIM,SIM
722,"Serrana, SP",2005-12-17,1,6,16,36,50,52,0,49,4000,0,25242.04,308.05,,0,0,0,SIM,SIM
723,"Campinas, SP",2005-12-21,17,27,34,48,51,55,0,102,6190,0,12537.87,205.82,,0,0,0,SIM,SIM
724,"São Paulo, SP",2005-12-31,3,9,35,37,41,49,2,343,20451,15815987.63,10298.59,172.08,MG,0,0,0,NAO,SIM
725,"NOVA FRIBURGO, RJ",2006-01-04,1,5,7,37,40,47,0,35,2838,0,15459.49,189.94,,0,0,0,SIM,SIM
726,"Nova Friburgo, RJ",2006-01-07,4,12,14,30,42,59,0,29,2688,0,25008.46,268.79,,0,0,0,SIM,SIM
727,"Santos, SP",2006-01-11,8,13,24,32,42,44,0,81,5381,0,8575.31,128.59,,0,0,0,SIM,SIM
728,"GUARUJÁ, SP",2006-01-14,5,18,33,43,56,57,1,51,5041,4969519.9,17231.34,173.67,MG,0,0,0,NAO,SIM
729,"Campos dos Goytacazes, RJ",2006-01-18,2,15,16,45,50,54,0,34,2824,0,23412.97,280.82,,0,0,0,SIM,SIM
730,"Campos dos Goytacazes, RJ",2006-01-21,6,15,16,23,28,35,0,88,6659,0,11554.63,152.12,,0,0,0,SIM,SIM
731,"Várzea Paulista, SP",2006-01-25,6,17,19,49,50,53,0,65,4196,0,14610.54,225.48,,0,0,0,SIM,SIM
732,"Águas de Lindóia, SP",2006-01-28,2,12,26,31,43,46,0,67,5110,0,16737.98,218.63,,0,0,0,SIM,SIM
733,"União da Vitória, PR",2006-02-01,27,29,43,44,45,54,1,58,3984,16726569.98,19354,280.69,MG,0,0,0,NAO,SIM
734,"General Carneiro, PR",2006-02-04,9,15,38,40,42,52,0,33,3043,0,27163.91,293.47,,0,0,0,SIM,SIM
735,"LAVRAS, MG",2006-02-08,1,21,38,41,49,56,0,19,2190,0,47835.6,413.44,,0,0,0,SIM,SIM
736,"LAVRAS, MG",2006-02-11,11,12,24,32,33,38,0,65,6267,0,18730.63,193.54,,0,0,0,SIM,SIM
737,"RIO GRANDE, RS",2006-02-15,14,15,26,30,42,54,0,47,4178,0,26720.69,299.45,,0,0,0,SIM,SIM
738,"RIO GRANDE, RS",2006-02-18,6,10,35,45,49,56,0,54,4723,0,25993.77,296.08,,0,0,0,SIM,SIM
739,"CORUMBÁ, MS",2006-02-22,12,16,28,29,47,50,1,90,6943,26132814.65,17953.91,231.85,PR,0,0,0,NAO,SIM
740,"CORUMBÁ, MS",2006-02-25,24,26,27,36,39,59,0,23,2133,0,28453.38,305.65,,0,0,0,SIM,SIM
741,"BRASÍLIA, DF",2006-03-01,2,7,17,34,41,50,0,25,1622,0,14199,218.02,,0,0,0,SIM,SIM
742,"Goianésia, GO",2006-03-04,20,23,25,32,54,60,0,28,2762,0,29491.22,297.84,,0,0,0,SIM,SIM
743,"Diadema, SP",2006-03-08,4,12,23,26,39,46,0,77,5387,0,10441.97,148.7,,0,0,0,SIM,SIM
744,"Diadema, SP",2006-03-11,2,16,21,37,43,57,0,134,5262,0,8604.62,218.3,,0,0,0,SIM,SIM
745,"Não-me-Toque, RS",2006-03-15,1,10,12,25,49,57,2,114,6686,6995681.58,10206.52,173.36,RS,0,0,0,NAO,SIM
746,"Passo Fundo, RS",2006-03-18,2,3,12,21,23,56,0,53,4363,0,13079.29,158.28,,0,0,0,SIM,SIM
747,"São José do Rio Preto, SP",2006-03-22,1,2,7,19,35,51,0,74,4519,0,9080.42,148.14,,0,0,0,SIM,SIM
748,"São José do Rio Preto, SP",2006-03-25,4,24,47,48,50,57,0,31,2669,0,26214.36,303.33,,0,0,0,SIM,SIM
749,"Vitória da Conquista, BA",2006-03-29,10,17,33,42,54,58,0,49,3799,0,18795.69,241.51,,0,0,0,SIM,SIM
750,"VITÓRIA DA CONQUISTA, BA",2006-04-01,4,7,20,25,38,50,0,74,5579,0,15221.68,201.14,,0,15000000,0,SIM,SIM
751,"Santo André, SP",2006-04-05,4,23,24,25,29,42,0,86,6849,0,13022.3,162.9,,0,0,0,SIM,SIM
752,"Santo André, SP",2006-04-08,2,7,22,35,43,59,1,152,8630,17388228.32,9083.97,159.4,BA,0,0,0,NAO,SIM
753,"DRACENA, SP",2006-04-12,3,4,13,34,42,50,0,41,2827,0,14457.22,208.89,,0,0,0,SIM,SIM
754,"Tupã, SP",2006-04-15,4,12,30,47,49,59,0,41,2977,0,18319.33,251.35,,0,0,0,SIM,SIM
755,"São Luiz Gonzaga, RS",2006-04-19,5,27,37,38,41,50,0,34,3135,0,27503.13,297.15,,0,0,0,SIM,SIM
756,"Três Passos, RS",2006-04-22,12,17,18,30,32,58,0,53,3448,0,17988.72,275.46,,0,0,0,SIM,SIM
757,"Aracruz, ES",2006-04-26,1,23,36,43,47,59,0,74,4910,0,14352.34,215.49,,0,0,0,SIM,SIM
758,"Ibiraçu, ES",2006-04-29,30,31,39,45,48,59,0,38,2588,0,32431.5,474.4,,0,0,0,SIM,SIM
759,"Lençóis Paulista, SP",2006-05-03,12,17,44,45,46,60,0,80,5517,0,16005.08,231.2,,0,0,0,SIM,SIM
760,"Lençóis Paulista, SP",2006-05-06,13,17,27,29,40,56,0,100,8936,0,17175.97,191.48,,0,0,0,SIM,SIM
761,"VENÂNCIO AIRES, RS",2006-05-10,9,12,21,37,39,54,0,143,10120,0,13668.11,192.4,,0,0,0,SIM,SIM
762,"VENÂNCIO AIRES, RS",2006-05-13,1,9,26,40,47,48,0,101,7655,0,23502.31,308.92,,0,0,0,SIM,SIM
763,"Ribeirão Preto, SP",2006-05-18,3,7,45,47,53,55,1,189,15290,40539530.9,16486.79,203.03,PA,0,0,0,NAO,SIM
764,"Ribeir��o Preto, SP",2006-05-21,3,10,16,30,37,50,0,62,4336,0,15552.09,221.54,,0,0,0,SIM,SIM
765,"Cachoeira do Sul, RS",2006-05-24,1,19,24,42,50,58,0,63,4477,0,16857.33,236.31,,0,0,0,SIM,SIM
766,"Cachoeira do Sul, RS",2006-05-27,15,22,32,38,50,54,0,62,4419,0,20318.55,284,,0,0,0,SIM,SIM
767,"Gama, DF",2006-05-31,4,8,30,33,37,59,1,93,6408,21024430.31,13647.3,197.31,MG,0,0,0,NAO,SIM
768,"Gama, DF",2006-06-03,12,16,20,21,29,50,0,49,3078,0,14382.06,228.08,,0,0,0,SIM,SIM
769,"GAMA, DF",2006-06-07,4,12,25,34,35,48,0,68,5401,0,13703.65,171.88,,0,0,0,SIM,SIM
770,"GAMA, DF",2006-06-10,14,21,29,34,46,47,0,69,4559,0,15089.83,227.53,,0,0,0,SIM,SIM
771,"Brasília, DF",2006-06-14,10,35,38,51,52,60,0,66,5330,0,13476.3,166.25,,0,15000000,0,SIM,SIM
772,"BRASÍLIA, DF",2006-06-17,3,5,14,29,34,51,0,58,4919,0,16454.7,193.29,,0,0,0,SIM,SIM
773,"Brasília, DF",2006-06-21,5,10,37,46,54,58,1,64,4336,16319071.08,16352.03,240.45,PA,0,0,0,NAO,SIM
774,"Brasília, DF",2006-06-24,12,27,42,46,47,50,0,30,3058,0,25559.59,249.8,,0,0,0,SIM,SIM
775,"BRASÍLIA, DF",2006-06-28,3,15,35,41,57,60,0,56,3075,0,13543.61,245.72,,0,0,0,SIM,SIM
776,"Brasília, DF",2006-07-01,2,14,23,28,50,56,0,80,3943,0,10746.73,217.22,,0,12000000,0,SIM,SIM
777,"BRASÍLIA, DF",2006-07-05,20,31,36,37,45,51,0,21,1890,0,42785.84,473.6,,0,0,0,SIM,SIM
778,"BRASÍLIA, DF",2006-07-08,25,26,29,36,52,54,0,26,3127,0,39580.32,327.85,,0,0,0,SIM,SIM
779,"Rio de Janeiro, RJ",2006-07-12,7,10,28,50,51,59,0,43,3828,0,26754.56,299.4,,0,0,0,SIM,SIM
780,"Brasília, DF",2006-07-15,8,10,13,39,54,56,0,66,5707,0,19809.51,228.22,,0,0,0,SIM,SIM
781,"Brasília, DF",2006-07-19,2,11,23,35,42,59,0,144,7533,0,9270.41,176.55,,0,0,0,SIM,SIM
782,"BRASÍLIA, DF",2006-07-22,4,8,21,32,43,48,1,140,8427,28244624.32,10572.64,174.99,MT,0,0,0,NAO,SIM
783,"Taguatinga, DF",2006-07-26,8,27,37,42,53,56,0,27,2163,0,20363.8,253.24,,0,0,0,SIM,SIM
784,"Taguatinga, DF",2006-07-29,5,8,17,35,37,48,1,126,6657,9770979.43,6940.06,130.87,RJ,0,0,0,NAO,SIM
785,"TAGUATINGA, DF",2006-08-02,10,11,26,27,31,41,0,19,1521,0,25700.08,319.83,,0,0,0,SIM,SIM
786,"TAGUATINGA, DF",2006-08-05,20,31,34,37,54,60,0,40,1955,0,16922.47,344.93,,0,0,0,SIM,SIM
787,"BRASÍLIA, DF",2006-08-09,17,19,29,31,44,57,0,62,3247,0,10763.88,204.75,,0,0,0,SIM,SIM
788,"Brasília, DF",2006-08-12,6,31,38,39,50,60,0,13,1808,0,62482.48,447.56,,0,0,0,SIM,SIM
789,"TAGUATINGA, DF",2006-08-16,2,6,19,22,28,43,0,71,5884,0,11717.34,140.86,,0,0,0,SIM,SIM
790,"TAGUATINGA, DF",2006-08-19,9,14,19,35,42,58,1,114,5756,12212213.94,8665.54,170.97,SP,0,0,0,NAO,SIM
791,"Taguatinga, DF",2006-08-23,9,29,34,43,45,56,0,32,1949,0,15844.65,259.17,,0,0,0,SIM,SIM
792,"Taguatinga, DF",2006-08-26,3,15,16,33,51,57,0,62,3629,0,10387.12,176.79,,0,0,0,SIM,SIM
793,"TAGUATINGA, DF",2006-08-30,3,38,42,47,55,56,0,15,1730,0,37006.71,319.66,,0,0,0,SIM,SIM
794,"TAGUATINGA, DF",2006-09-02,14,21,26,29,36,48,0,76,4389,0,11029.2,190.27,,0,0,0,SIM,SIM
795,"Brasília, DF",2006-09-06,5,19,24,34,39,43,0,80,4883,0,9974.9,162.81,,0,0,0,SIM,SIM
796,"Brasília, DF",2006-09-09,6,12,47,48,52,58,0,66,3447,0,12566.42,239.7,,0,0,0,SIM,SIM
797,"BOITUVA, SP",2006-09-13,3,4,9,29,32,52,0,48,4104,0,19610.77,228.5,,0,0,0,SIM,SIM
798,"Boituva, SP",2006-09-16,19,29,35,42,55,57,0,56,4675,0,19330.65,230.69,,0,0,0,SIM,SIM
799,"Itapeva, SP",2006-09-20,1,7,11,37,38,56,0,44,4497,0,26411.64,257.44,,0,0,0,SIM,SIM
800,"ITAPEVA, SP",2006-09-23,11,19,20,22,42,48,0,73,5791,0,19406.93,243.72,,0,0,0,SIM,SIM
801,"Rio Branco, AC",2006-09-27,6,14,18,24,48,60,0,117,8216,0,12287.8,174.32,,0,0,0,SIM,SIM
802,"Rio Branco, AC",2006-09-30,3,5,10,21,28,57,0,193,12055,0,8993.04,143.44,,0,0,0,SIM,SIM
803,"PORTO VELHO, RO",2006-10-04,3,13,37,47,56,59,1,134,9937,34172202.25,13835.88,185.88,SP,0,0,0,NAO,SIM
804,"PORTO VELHO, RO",2006-10-07,2,30,36,43,48,60,0,62,3489,0,14428.43,255.42,,0,0,0,SIM,SIM
805,"Boa Esperança, MG",2006-10-12,18,26,35,41,47,60,0,50,3179,0,18518.81,290.17,,0,0,0,SIM,SIM
806,"BOA ESPERANÇA, MG",2006-10-14,2,8,27,32,49,56,0,130,6188,0,7262.48,152.01,,0,0,0,SIM,SIM
807,"ARIQUEMES, RO",2006-10-18,2,15,21,31,46,57,0,44,3844,0,24446.08,278.76,,0,0,0,SIM,SIM
808,"ARIQUEMES, RO",2006-10-21,5,11,15,23,25,30,0,121,7669,0,8582.38,134.9,,0,0,0,SIM,SIM
809,"JI-PARANÁ, RO",2006-10-25,1,4,5,33,37,48,0,75,6450,0,17505.65,202.79,,0,30000000,0,SIM,SIM
810,"JI-PARANÁ, RO",2006-10-28,10,28,32,41,47,57,2,89,5508,14597902.39,17684.31,284.67,RS,0,0,0,NAO,SIM
811,"CACOAL, RO",2006-11-01,11,13,38,39,54,57,0,57,2116,0,9696.24,260.21,,0,0,0,SIM,SIM
812,"Cacoal, RO",2006-11-04,9,15,23,45,46,56,0,43,3244,0,14647.97,193.43,,0,0,0,SIM,SIM
813,"Porto Alegre, RS",2006-11-08,2,8,11,41,46,50,0,37,2534,0,18442.44,268.27,,0,0,0,SIM,SIM
814,"Porto Alegre, RS",2006-11-11,9,19,37,39,50,57,0,56,3621,0,17528.89,270.06,,0,0,0,SIM,SIM
815,"LAJEADO, RS",2006-11-16,20,21,30,40,47,52,0,21,1885,0,39708.11,440.69,,0,0,0,SIM,SIM
816,"LAJEADO, RS",2006-11-18,10,29,30,34,43,52,0,27,2469,0,34364.35,374.37,,0,16000000,0,SIM,SIM
817,"Vilhena, RO",2006-11-22,8,9,22,25,41,44,0,58,4935,0,16865.13,197.47,,0,0,0,SIM,SIM
818,"Vilhena, RO",2006-11-25,5,19,25,46,51,58,0,105,5868,0,11132.9,198.46,,0,0,0,SIM,SIM
819,"MIRANTE DO PARANAPANEMA, SP",2006-11-29,10,17,21,32,45,46,2,82,5102,13046320.38,15456.29,247.47,SP,0,0,0,NAO,SIM
820,"ARAÇATUBA, SP",2006-12-02,4,29,33,36,38,42,0,37,3307,0,17462.93,194.64,,0,0,0,SIM,SIM
821,"Santa Bárbara, MG",2006-12-06,4,10,17,27,41,52,0,31,2585,0,19931.52,238.13,,0,0,0,SIM,SIM
822,"Barão de Cocais, MG",2006-12-09,1,15,26,51,54,59,0,22,2144,0,35180.77,359.62,,0,0,0,SIM,SIM
823,"CAMPINAS, SP",2006-12-13,6,7,9,20,33,48,0,53,5002,0,14753.39,155.73,,0,0,0,SIM,SIM
824,"CAMPINAS, SP",2006-12-16,10,21,28,40,41,47,0,52,4148,0,19453.75,242.96,,0,0,0,SIM,SIM
825,"ARVOREZINHA, RS",2006-12-19,6,7,8,27,45,53,0,68,3571,0,9188.18,174.3,,0,0,0,SIM,SIM
826,"Nonoai, RS",2006-12-21,18,24,30,42,51,56,0,47,4106,0,21021.73,239.72,,0,0,0,SIM,SIM
827,"Nonoai, RS",2006-12-23,23,28,38,42,50,53,0,29,3478,0,40114.62,333.21,,0,0,0,SIM,SIM
828,"SÃO PAULO, SP",2006-12-31,10,14,32,47,50,56,0,162,10814,0,18311.2,273.27,,0,0,0,SIM,SIM
829,"São Francisco de Itabapoana, RJ",2007-01-03,2,13,41,49,51,53,0,94,7705,0,24135.05,293.34,,0,0,0,SIM,SIM
830,"São Francisco de Itabapoana, RJ",2007-01-06,3,32,33,42,48,50,0,117,12045,0,31716.1,306.9,,0,0,0,SIM,SIM
831,"SÃO JOÃO DA BARRA, RJ",2007-01-10,15,17,23,33,39,49,1,510,37086,52807317.17,13486.58,184.77,GO,0,0,0,NAO,SIM
832,"São João da Barra, RJ",2007-01-13,13,16,46,53,57,58,0,40,2678,0,19408.81,288.8,,0,0,0,SIM,SIM
833,"Jaguariaíva, PR",2007-01-17,10,16,17,34,44,51,1,42,3073,2820323.56,19887.17,270.78,SP,0,0,0,NAO,SIM
834,"Sengés, PR",2007-01-20,18,31,33,49,57,58,0,40,4078,0,28893.86,282.34,,0,0,0,SIM,SIM
835,"Valinhos, SP",2007-01-24,17,22,28,38,52,59,0,64,4859,0,20981.59,275.31,,0,0,0,SIM,SIM
836,"Valinhos, SP",2007-01-27,5,6,16,24,34,60,1,73,6233,25067473.09,20418.03,238.23,GO,0,0,0,NAO,SIM
